Disease                               , Medicine Name                                  , Dosage       , Timing
Common Cold                           , Ketoconazole Tablet                            , To be decided, To be decided
Common Cold                           , IV fluids                                      , To be decided, To be decided
Common Cold                           , Oxygen therapy                                 , To be decided, To be decided
Pneumonia                             , Laxatives                                      , To be decided, To be decided
Pneumonia                             , Acetaminophen (Tylenol)                        , To be decided, To be decided
Pneumonia                             , Warm baths                                     , To be decided, To be decided
Pneumonia                             , Cold compresses                                , To be decided, To be decided
Pneumonia                             , High-fiber diet                                , To be decided, To be decided
Dimorphic hemmorhoids(piles)          , Rectiv (glyceryl trinitrate)                   , To be decided, To be decided
Dimorphic hemmorhoids(piles)          , Aspirin                                        , To be decided, To be decided
Dimorphic hemmorhoids(piles)          , Daflon 500mg                                   , To be decided, To be decided
Dimorphic hemmorhoids(piles)          , Nifedipine and Diltiazem                       , To be decided, To be decided
Dimorphic hemmorhoids(piles)          , Pylno                                          , To be decided, To be decided
Heart attack                          , Compression stockings                          , To be decided, To be decided
Heart attack                          , Exercise                                       , To be decided, To be decided
Heart attack                          , Elevating the legs                             , To be decided, To be decided
Heart attack                          , Sclerotherapy                                  , To be decided, To be decided
Heart attack                          , Laser treatments                               , To be decided, To be decided
Varicose veins                        , Levothyroxine                                  , To be decided, To be decided
Varicose veins                        , Propylthiouracil and Methimazole               , To be decided, To be decided
Varicose veins                        , "Propranolol (Inderal, Innopran XL)"           , To be decided, To be decided
Varicose veins                        , Radioactive iodine                             , To be decided, To be decided
Varicose veins                        , Thyroid surgery                                , To be decided, To be decided
Hypothyroidism                        , Levothyroxine                                  , To be decided, To be decided
Hypothyroidism                        , Radioactive iodine                             , To be decided, To be decided
Hypothyroidism                        , Thyroid surgery                                , To be decided, To be decided
Hypothyroidism                        , Beta-blockers                                  , To be decided, To be decided
Hypothyroidism                        , "Levothyroxine (Ermeza, Euthyrox, L Thyroxine)", To be decided, To be decided
Hyperthyroidism                       , Glucose tablets                                , To be decided, To be decided
Hyperthyroidism                       , Candy or juice                                 , To be decided, To be decided
Hyperthyroidism                       , Glucagon injection                             , To be decided, To be decided
Hyperthyroidism                       , IV dextrose                                    , To be decided, To be decided
Hyperthyroidism                       , Diazoxide                                      , To be decided, To be decided
Hypoglycemia                          , Tramadol                                       , To be decided, To be decided
Hypoglycemia                          , Exercise                                       , To be decided, To be decided
Hypoglycemia                          , Hot and cold packs                             , To be decided, To be decided
Hypoglycemia                          , Joint protection                               , To be decided, To be decided
Hypoglycemia                          , Physical therapy                               , To be decided, To be decided
Arthritis                             , Vestibular rehabilitation                      , To be decided, To be decided
Arthritis                             , Ibuprofen and Naproxen                         , To be decided, To be decided
Arthritis                             , Zofran (ondansetron)                           , To be decided, To be decided
Arthritis                             , Surgery                                        , To be decided, To be decided
Arthritis                             , Home exercises                                 , To be decided, To be decided
(vertigo) Paroymsal Positional Vertigo, Dimenhydrinate (Dramamine)                     , To be decided, To be decided
(vertigo) Paroymsal Positional Vertigo, Epley maneuver                                 , To be decided, To be decided
(vertigo) Paroymsal Positional Vertigo, Betahistinw HCL Tablet                         , To be decided, To be decided
(vertigo) Paroymsal Positional Vertigo, Clonazepam                                     , To be decided, To be decided
(vertigo) Paroymsal Positional Vertigo, Isotretinoin                                   , To be decided, To be decided
Acne                                  , "Doxycycline, Minocycline"                     , To be decided, To be decided
Acne                                  , Paracetamol or Aspirin                         , To be decided, To be decided
Acne                                  , Loratadine                                     , To be decided, To be decided
Acne                                  , Prednisone or Prednisolone                     , To be decided, Morning with food
Acne                                  , Benzoyl Peroxide                               , To be decided, To be decided
Urinary tract infection               , UTI-ROZ                                        , To be decided, To be decided
Urinary tract infection               , Uristat Ultra                                  , To be decided, To be decided
Urinary tract infection               , Phenazopyridine                                , To be decided, To be decided
Urinary tract infection               , "Flavoxate, Oxybutynin"                        , To be decided, To be decided
Urinary tract infection               , Lactobacillus rhamnosus GR-1                   , To be decided, To be decided
Psoriasis                             , Triamcinolone                                  , To be decided, To be decided
Psoriasis                             , Phototherapy                                   , To be decided, To be decided
Psoriasis                             , Apremilast (Otezla)                            , To be decided, To be decided
Psoriasis                             , Guselkumab (Tremfya)                           , To be decided, To be decided
Psoriasis                             , "Alphosyl, Exorex"                             , To be decided, To be decided
Impetigo                              , Mupirocin                                      , To be decided, To be decided
Impetigo                              , Cephalexin                                     , To be decided, To be decided
Impetigo                              , Mupirocin (Bactroban)                          , To be decided, To be decided
Impetigo                              , Retapamulin                                    , To be decided, To be decided
Impetigo                              , Warm compresses                                , To be decided, To be decided
