Disease,Medicine Name,Dosage,Timing
Dimorphic hemmorhoids(piles),Daflon 500mg,To  be prescribed,To  be prescribed
Dimorphic hemmorhoids(piles),Nifedipine and Diltiazem,To  be prescribed,To  be prescribed
Dimorphic hemmorhoids(piles),Pylno,To  be prescribed,To  be prescribed
Heart attack,Compression stockings,To  be prescribed,To  be prescribed
Heart attack,Exercise,To  be prescribed,To  be prescribed
Heart attack,Elevating the legs,To  be prescribed,To  be prescribed
Heart attack,Sclerotherapy,To  be prescribed,To  be prescribed
Heart attack,Laser treatments,To  be prescribed,To  be prescribed
Varicose veins,Levothyroxine,To  be prescribed,To  be prescribed
Varicose veins,Propylthiouracil and Methimazole,To  be prescribed,To  be prescribed
Varicose veins,"Propranolol (Inderal, Innopran XL)",To  be prescribed,To  be prescribed
Varicose veins,Radioactive iodine,To  be prescribed,To  be prescribed
Varicose veins,Thyroid surgery,To  be prescribed,To  be prescribed
Hypothyroidism,Levothyroxine,To  be prescribed,To  be prescribed
Hypothyroidism,Radioactive iodine,To  be prescribed,To  be prescribed
Hypothyroidism,Thyroid surgery,To  be prescribed,To  be prescribed
Hypothyroidism,Beta-blockers,To  be prescribed,To  be prescribed
Hypothyroidism,"Levothyroxine (Ermeza, Euthyrox, L Thyroxine)",To  be prescribed,To  be prescribed
Hyperthyroidism,Glucose tablets,To  be prescribed,To  be prescribed
Hyperthyroidism,Candy or juice,To  be prescribed,To  be prescribed
Hyperthyroidism,Glucagon injection,To  be prescribed,To  be prescribed
Hyperthyroidism,IV dextrose,To  be prescribed,To  be prescribed
Hyperthyroidism,Diazoxide,To  be prescribed,To  be prescribed
Hypoglycemia,Tramadol,To  be prescribed,To  be prescribed
Hypoglycemia,Exercise,To  be prescribed,To  be prescribed
Hypoglycemia,Hot and cold packs,To  be prescribed,To  be prescribed
Hypoglycemia,Joint protection,To  be prescribed,To  be prescribed
Hypoglycemia,Physical therapy,To  be prescribed,To  be prescribed
Arthritis,Vestibular rehabilitation,To  be prescribed,To  be prescribed
Arthritis, Ibuprofen and Naproxen,To  be prescribed,To  be prescribed
Arthritis,Zofran (ondansetron),To  be prescribed,To  be prescribed
Arthritis,Surgery,To  be prescribed,To  be prescribed
Arthritis,Home exercises,To  be prescribed,To  be prescribed
(vertigo) Paroymsal Positional Vertigo,Dimenhydrinate (Dramamine),To  be prescribed,To  be prescribed
(vertigo) Paroymsal Positional Vertigo,Epley maneuver,To  be prescribed,To  be prescribed
(vertigo) Paroymsal Positional Vertigo,Betahistinw HCL Tablet,To  be prescribed,To  be prescribed
(vertigo) Paroymsal Positional Vertigo,Clonazepam,To  be prescribed,To  be prescribed
(vertigo) Paroymsal Positional Vertigo,Isotretinoin,To  be prescribed,To  be prescribed
Acne,"Doxycycline, Minocycline",To  be prescribed,To  be prescribed
Acne,Paracetamol or Aspirin ,To  be prescribed,To  be prescribed
Acne,Loratadine,To  be prescribed,To  be prescribed
Acne,Prednisone or Prednisolone,5-10 mg daily,Morning with food
Acne,Benzoyl Peroxide,To  be prescribed,To  be prescribed
Urinary tract infection,UTI-ROZ,To  be prescribed,To  be prescribed
Urinary tract infection,Uristat Ultra,To  be prescribed,To  be prescribed
Urinary tract infection,Phenazopyridine,To  be prescribed,To  be prescribed
Urinary tract infection,"Flavoxate, Oxybutynin",To  be prescribed,To  be prescribed
Urinary tract infection,Lactobacillus rhamnosus GR-1,To  be prescribed,To  be prescribed
Psoriasis,Triamcinolone,To  be prescribed,To  be prescribed
Psoriasis,Phototherapy,To  be prescribed,To  be prescribed
Psoriasis,Apremilast (Otezla),To  be prescribed,To  be prescribed
Psoriasis,Guselkumab (Tremfya),To  be prescribed,To  be prescribed
Psoriasis,"Alphosyl, Exorex",To  be prescribed,To  be prescribed
Impetigo,Mupirocin,To  be prescribed,To  be prescribed
Impetigo,Cephalexin,To  be prescribed,To  be prescribed
Impetigo,Mupirocin (Bactroban),To  be prescribed,To  be prescribed
Impetigo,Retapamulin,To  be prescribed,To  be prescribed
Impetigo,Warm compresses,To  be prescribed,To  be prescribed
